temp,intensity,beamwidth,bg
1.00E+01,8.38E+04,9.065,26027.17815
2.00E+01,8.96E+04,8.869352518,26016.72148
2.50E+01,8.03E+04,9.260647482,26028.10667
3.00E+01,8.39E+04,9.097607914,25986.32056
3.50E+01,8.18E+04,9.195431655,25987.64111
4.00E+01,7.80E+04,9.358471223,25987.99167
4.50E+01,5.79E+04,10.89104317,25986.40944
5.00E+01,4.86E+04,11.64102518,26133.37167
7.00E+01,3.92E+04,12.26057554,25099.10333
7.50E+01,3.19E+04,11.54320144,25194.51333
8.00E+01,2.76E+04,12.13014388,17167.54
8.50E+01,2.39E+04,12.68447842,17051.22667
9.00E+01,2.17E+04,12.78230216,15841.43
9.50E+01,2.21E+04,12.97794964,17048.38333
1.00E+02,1.95E+04,13.53228417,17001.255
1.05E+02,1.86E+04,13.79314748,17068.25167
1.10E+02,1.74E+04,14.08661871,16987.74
1.15E+02,1.70E+04,14.18444245,17014.27333
1.20E+02,1.70E+04,14.15183453,16926.22667
