temp,intensity,beamwidth,bg
1.00E+01,8.38E+04,5.55E+01,26027.17815
2.00E+01,8.96E+04,5.44E+01,26016.72148
2.50E+01,8.03E+04,5.67E+01,26028.10667
3.00E+01,8.39E+04,5.58E+01,25986.32056
3.50E+01,8.18E+04,5.63E+01,25987.64111
4.00E+01,7.80E+04,5.74E+01,25987.99167
4.50E+01,5.79E+04,6.68E+01,25986.40944
5.00E+01,4.86E+04,7.13E+01,26133.37167
7.00E+01,3.92E+04,7.51E+01,25099.10333
7.50E+01,3.19E+04,7.08E+01,25194.51333
8.00E+01,2.76E+04,7.43E+01,17167.54
8.50E+01,2.39E+04,7.78E+01,17051.22667
9.00E+01,2.17E+04,7.84E+01,15841.43
9.50E+01,2.21E+04,7.96E+01,17048.38333
1.00E+02,1.95E+04,8.29E+01,17001.255
1.05E+02,1.86E+04,8.45E+01,17068.25167
1.10E+02,1.74E+04,8.63E+01,16987.74
1.15E+02,1.70E+04,8.70E+01,17014.27333
1.20E+02,1.70E+04,8.68E+01,16926.22667
