[_],Mean
0,249.812
1,247.938
2,247.688
3,248.500
4,246.750
5,243.562
6,248.688
7,246.625
8,249.250
9,249.812
10,249.000
11,249.688
12,244.688
13,248.438
14,248.062
15,248.625
16,248.312
17,249.688
18,249.750
19,248.562
20,248.688
21,249.875
22,248.812
23,247.125
24,246.000
25,250.125
26,245.938
27,237.812
28,241.938
29,247.875
30,249.125
31,245.188
32,248.875
33,248.625
34,249.062
35,248.250
36,246.500
37,249.562
38,247.750
39,247.812
40,240.250
41,248.812
42,250.188
43,246.062
44,249.375
45,249.625
46,247.875
47,247.938
48,248.375
49,247.875
50,169.812
51,247.062
52,248.250
53,84.750
54,7.062
55,6.312
56,5.250
57,4.688
58,5.000
59,4.188
60,5.938
61,5.125
62,10.750
63,5.375
64,13.125
65,4.438
66,7.062
67,7.062
68,5.312
69,6.312
70,7.312
71,16.062
72,5.625
73,8.750
74,5.000
75,45.688
76,4.812
77,5.625
78,7.000
79,5.625
80,4.812
81,6.375
82,4.938
83,3.438
84,7.062
85,6.500
86,9.562
87,4.438
88,6.188
89,5.188
90,5.188
91,4.812
92,5.750
93,5.625
94,32.250
95,7.125
96,4.562
97,5.688
98,4.875
99,5.750
100,6.562
101,204.562
102,249.312
103,247.938
104,240.812
105,248.938
106,250.625
107,248.562
108,247.750
109,245.812
110,249.062
111,249.438
112,247.938
113,247.375
114,248.062
115,248.188
116,249.250
117,248.688
118,249.188
119,248.125
120,247.625
121,250.375
122,248.438
123,248.938
124,248.938
125,249.250
126,244.250
127,250.000
128,249.625
129,235.438
130,248.938
131,82.938
132,4.875
133,6.250
134,5.938
135,7.250
136,218.500
137,248.438
138,247.875
139,244.875
140,245.062
141,244.562
142,248.938
143,247.938
144,245.062
145,245.438
146,241.312
147,248.812
148,202.500
149,246.938
150,249.938
151,249.812
152,248.812
153,236.062
154,249.312
155,248.125
156,247.875
157,243.312
158,249.625
159,249.312
160,247.562
161,250.062
162,247.938
163,247.750
164,248.750
165,244.875
166,249.062
167,249.062
168,249.438
169,249.062
170,247.875
171,249.625
172,249.188
173,248.750
174,249.062
175,246.188
176,250.188
177,216.188
178,7.062
179,4.750
180,4.875
181,5.062
182,5.812
183,8.688
184,5.000
185,4.562
186,4.125
187,4.562
188,3.562
189,5.188
190,4.812
191,6.875
192,18.625
193,5.125
194,7.625
195,9.000
196,9.375
197,10.688
198,158.188
199,249.125
200,249.500
201,248.125
202,248.875
203,247.688
204,248.562
205,249.062
206,247.312
207,247.875
208,247.562
209,250.000
210,248.125
211,245.875
212,248.875
213,248.250
214,247.750
215,248.688
216,247.875
217,247.938
218,244.938
219,249.062
220,247.688
221,247.562
222,247.500
223,246.250
224,247.000
225,248.812
226,247.938
227,247.438
228,249.375
229,249.312
230,248.750
231,248.625
232,248.062
233,247.375
234,248.750
235,240.375
236,174.875
237,5.250
238,22.438
239,231.875
240,249.062
241,236.625
242,248.438
243,245.875
244,225.062
245,23.938
246,4.500
247,5.375
248,8.875
249,4.562
250,13.375
251,3.875
252,5.375
253,4.938
254,4.625
255,7.125
256,5.750
257,8.188
258,5.312
259,99.000
260,52.375
261,5.562
262,4.500
263,6.688
264,5.375
265,5.125
266,5.250
267,6.750
268,4.812
269,5.000
270,96.125
271,248.125
272,249.312
273,247.500
274,248.438
275,248.375
276,249.188
277,248.438
278,247.062
279,248.188
280,238.188
281,246.562
282,247.875
283,248.438
284,189.625
285,243.938
286,249.000
287,248.250
288,246.375
289,249.625
290,249.062
291,247.938
292,248.250
293,245.625
294,211.375
295,245.250
296,248.812
297,245.125
298,249.812
299,250.000
300,247.750
301,248.688
302,249.125
303,249.625
304,109.625
305,4.938
306,4.438
307,25.000
308,44.875
309,202.500
310,247.500
311,250.062
312,248.562
313,249.688
314,247.688
315,249.062
316,247.875
317,247.312
318,140.125
319,8.000
320,4.938
321,5.438
322,4.500
323,7.562
324,5.812
325,7.125
326,5.125
327,4.375
328,62.750
329,249.625
330,245.438
331,248.750
332,247.812
333,247.188
334,249.938
335,249.000
336,249.312
337,247.188
338,207.562
339,57.625
340,5.562
341,3.750
342,9.062
343,49.188
344,26.188
345,247.625
346,249.250
347,249.062
348,249.438
349,249.250
350,248.938
351,248.500
352,248.688
353,247.375
354,247.375
355,247.812
356,248.562
357,249.562
358,246.062
359,248.812
360,249.062
361,244.562
362,247.000
363,106.000
364,4.750
365,5.438
366,17.438
367,6.000
368,4.250
369,6.062
370,5.812
371,4.188
372,5.500
373,6.312
374,5.125
375,4.812
376,6.312
377,46.438
378,19.875
379,5.312
380,4.500
381,5.938
382,6.750
383,9.125
384,26.125
385,6.812
386,4.312
387,9.500
388,4.875
389,4.250
390,4.938
391,4.625
392,6.875
393,22.500
394,5.750
395,4.062
396,4.812
397,4.625
398,5.625
399,6.562
400,4.312
401,9.062
402,13.625
403,4.562
404,6.375
405,12.938
406,17.438
407,5.250
408,4.750
409,6.812
410,6.938
411,3.562
412,4.062
413,6.938
414,6.188
415,5.062
416,7.188
417,17.750
418,194.812
419,248.750
420,249.875
421,234.062
422,227.438
423,5.688
424,10.438
425,4.750
426,11.812
427,5.062
428,5.688
429,6.688
430,3.812
431,5.312
432,6.875
433,7.812
434,6.000
435,4.625
436,6.938
437,4.250
438,5.000
439,4.500
440,30.938
441,185.688
442,249.562
443,247.750
444,250.312
445,247.438
446,245.188
447,247.125
448,248.500
449,246.812
450,248.438
451,247.938
452,245.688
453,248.812
454,246.562
455,128.875
456,8.375
457,6.500
458,6.125
459,7.188
460,5.875
461,136.312
462,186.125
463,4.250
464,13.062
465,5.875
466,4.188
467,188.688
468,84.500
469,4.938
470,31.562
471,7.125
472,4.875
473,5.500
474,6.125
475,4.625
476,4.625
477,5.000
478,5.188
479,5.812
480,6.000
481,6.188
482,4.000
483,5.750
484,6.312
485,6.438
486,5.062
487,6.188
488,9.750
489,123.125
490,246.250
491,249.500
492,247.250
493,248.688
494,248.938
495,249.750
496,242.500
497,248.062
498,249.000
499,249.438
