,q1,q2,q3,q1,q2,q3
Temp,tau,tau,tau,beta,beta,beta
70,53975.19,4243.48,8860.48,0.89,1.77,0.82
75,4050.06,3139.63,4059.58,1.92,1.69,1.16
82,3897.3,2138.46,2025.76,1.36,1.38,1.24
88,3186.99,1350.09,1554.49,1.21,1.49,1.43
93,4903.61,1810.41,1343.63,0.99,1.36,0.94
95,2417.44,1242.85,661.45,1.13,1.53,1.42
97,1192.39,943.39,1090.61,1.14,0.95,1.17
100,1012.79,999.87,782.38,0.75,1.25,1.36
105,725.81,590.85,694.45,1.01,1.18,0.9
107,1184.65,1167.74,725.73,1.48,1.06,1.17
112,726.69,1214.5,707.76,0.87,0.71,1.72
